Title,Date,Source,Link
"""집 주고 장학금도 주겠다"" 학생 유치 나선 괴산군",2020.10.06,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002681680&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
[오늘의 서울 톡] 영등포 ‘아이랜드’ 긴급돌봄 운영,2일 전  네이버뉴,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20201013016043&wlog_tag3=naver
“고등학생은 안 주나요?” 비대면 학습지원금…중학생 1인당 15만원,2020.10.07,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20201007500147&wlog_tag3=naver
[특별기고]출산·보육·돌봄 순환 플랫폼이 아이 키우기 좋은 도시를 만든다,2일 전   보내기,경상일보,http://www.ksilbo.co.kr/news/articleView.html?idxno=775390
돌봄·고용지원금 이르면 금주 후반 지급…소상공인은 28일(종합),2020.09.20,연합뉴스,http://yna.kr/AKR20200919025351002?did=1195m
아동돌봄지원금 20만원 지급 완료…계좌 확인하세요,2020.09.29,한국경제,https://www.hankyung.com/life/article/202009294039i
[2020 국감] 추석특별방역기간 종료 후 초등 저학년 위주로 등교 확대,2020.10.07,파이낸셜뉴스,http://www.fnnews.com/news/202010071458106661
"부천시, 맞벌이·한부모가정 초등 자녀에게 '런치박스' 배달",,아시아경제,https://view.asiae.co.kr/article/2020101210432101087
"""돌봄지원금 들어왔네요""..학부모들 입금문자에 '반색'",2020.09.29,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=02732246625905040
[시사경제용어]<K자형 회복>경기 회복 단계에서 계층 간 양극화 심화…맞벌이...,,강원일보,http://www.kwnews.co.kr/nview.asp?aid=220101400130
"한샘, 경기도 시흥시 초등 돌봄교실 학습용 가구지원",2020.10.05,브레이크뉴스,http://www.breaknews.com/759092
초등 돌봄교실 운영이 지자체 몫이어야 하는 까닭,2020.09.27,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002678996&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
4차 추경 통과땐 영유아·초등 지원금 이르면 25일 지급,2020.09.21,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20200921005015&wlog_tag3=naver
돌봄지원 아동 20만원-비대면 학습 지원 15만원…언제 신청하고 어떻게 받나?,2020.09.24,KBS,http://news.kbs.co.kr/news/view.do?ncd=5012420&ref=A
"사립初 등교수업 일수, 공립 초등학교의 두 배",29면1단  202,한국경제,https://www.hankyung.com/society/article/2020100754931
울산교육청 외국 국적 학생에게도 특별돌봄지원금 지급,,베리타스알파,http://www.veritas-a.com/news/articleView.html?idxno=341409
부산 백양초등학교 1학년 학생 확진···200여 명 검사,2020.09.29,서울경제,https://www.sedaily.com/NewsView/1Z81MKJFLA
미취학 돌봄 28일 일괄·초등생 29일부터 순차적 20만원 지급,2020.09.24,뉴스1,https://www.news1.kr/articles/?4068941
통신 줄고 돌봄 늘고…달라진 재난지원금 누가·언제 받나,2020.09.22,연합뉴스,http://yna.kr/AKR20200922133500002?did=1195m
"미취학 아동·초등학생, 추석 전 돌봄지원금 20만원 받는다",25면1단  202,머니투데이,http://news.mt.co.kr/mtview.php?no=2020092409304163275
"홍남기 ""돌봄 종사자·택배기사·미화원 정책지원 검토 중""",2020.09.28,뉴시스,http://www.newsis.com/view/?id=NISX20200928_0001181338&cID=10401&pID=10400
'우리동네키움센터' 초등돌봄 어떻게? 서울시민 의견수렴,2020.09.22,연합뉴스,http://yna.kr/AKR20200921130100004?did=1195m
서울시 ‘키움센터’ 178곳 신설… 돌봄공백 메운다,2020.10.05,문화일보,http://www.munhwa.com/news/view.html?no=2020100501030927352001
"서울 강남구, 초등생 돌봄시설 내년까지 7곳 신설",2020.09.22,연합뉴스,http://yna.kr/AKR20200922065100004?did=1195m
"[Btv 기남뉴스]용인시, 아동특별돌봄지원금 추석 전 '지급 완료'",2020.09.28,SK브로드밴드,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=62&p_no=109566
새희망자금·돌봄 등 재난지원금 1차 28~29일 지급 전망···“주중 문자 안...,2020.09.20,경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202009201049001&code=920301
"신한금융 인천에 초등학생 돌봄센터 열어, 조용병 “100호점 목표”",2020.09.23,비즈니스포스트,http://www.businesspost.co.kr/BP?command=article_view&num=197447
"경북도, 만7세 미만 아동특별돌봄지원금 추석전 긴급 지급",2020.09.28,대구일보,http://www.idaegu.com/newsView/idg202009280084
"충남도, 7세 미만 아동돌봄지원금 20만원 추석 전 지급",2020.09.28,연합뉴스,http://yna.kr/AKR20200928073700063?did=1195m
"괴산군 장연면, 장연초등학교 살리기 적극 동참",2020.10.07,브레이크뉴스,http://www.breaknews.com/759389
"인천 서구, '드림스타트·돌봄시설 아동 긴급 전수조사 실시'",2020.10.06,이뉴스투데이,http://www.enewstoday.co.kr/news/articleView.html?idxno=1418746
"[음성소식]군, 아동특별돌봄지원금 추석 전 일괄지급 등",2020.09.27,뉴시스,http://www.newsis.com/view/?id=NISX20200927_0001180812&cID=10806&pID=10800
돌봄교실 지자체 이관? 아이들을 쫓아낼 생각입니까,2020.09.27,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002678853&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
"조희연 ""특별돌봄 지원비 외국 학생 제외는 차별…교육부 협조 촉구""",2020.09.29,아시아경제,https://view.asiae.co.kr/article/2020092918050789844
부산시 미취학 아동에 20만원 현금 지급…돌봄 부담 경감,2020.09.28,연합뉴스,http://yna.kr/AKR20200928025200051?did=1195m
"서구-LH인천본부, 다함께돌봄센터 설치 무상임대 협약 체결",2020.09.23,인천뉴스,http://www.incheonnews.com/news/articleView.html?idxno=125194
"학교 돌봄 지자체 이관, 충북 교육계에서도 '논란'",2020.09.24,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002678867&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
"교육부의 돌봄교실 떠넘기기, 학부모는 화가 난다",2020.09.23,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002675120&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
‘라면 화재’ 초등생 형제 의식 되찾아 일반병실서 치료…온정 이어져,2020.10.05,세계일보,http://www.segye.com/content/html/2020/10/05/20201005514779.html?OutUrl=naver
"경북교육청, 초등학생 아동특별돌봄지원금 추석 전 지급",2020.09.27,대경일보,http://www.dkilbo.com/news/articleView.html?idxno=312734
"""식비 보태고 '집콕' 지친 아이에 선물""…아동돌봄지원금 활용법",2020.10.04,뉴시스,http://www.newsis.com/view/?id=NISX20201003_0001185184&cID=10201&pID=10200
"소상공인 25일부터 지원금 받는다…돌봄·특고, 추석 전 1차 지급",2020.09.23,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=01282486625903072
추석 전 소상공인·돌봄·고용 등 지원금 744만 명에 3.3조 지급,2020.09.30,더팩트,http://news.tf.co.kr/read/economy/1816037.htm
"거창군, 코로나 2차 '아동특별돌봄' 지원금 지급…미취학아동 대상",2020.09.28,뉴스1,https://www.news1.kr/articles/?4072889
"제주, 추석 전 아동 특별돌봄 지원금 20만원 지급",2020.09.27,뉴시스,http://www.newsis.com/view/?id=NISX20200927_0001180970&cID=10813&pID=10800
양산 북부동에 ‘다함께 돌봄센터’ 1호점 문 연다,2020.09.29,경남신문,http://www.knnews.co.kr/news/articleView.php?idxno=1334859
코로나로 `돌봄수요` 폭증… 맞춤형 지원 강조한 이낙연,2020.10.04,디지털타임스,http://www.dt.co.kr/contents.html?article_no=2020100502101658044002&ref=naver
경북교육청 초등학생 아동특별돌봄지원금 추석 전 지급,2020.09.25,베리타스알파,http://www.veritas-a.com/news/articleView.html?idxno=340311
'외국 국적 학생' 특별돌봄수당 지급 추진,2020.10.04,울산제일일보,http://www.ujeil.com/news/articleView.html?idxno=262631
전국서 확진 학생 잇따라…추석 연휴 방역 고비,2020.09.30,연합뉴스TV,http://www.yonhapnewstv.co.kr/MYH20200930001100641/?did=1825m
초등생도 돌봄쿠폰·미취업청년 지원금…4차 추경 7조원대 편성(종합),2020.09.09,연합뉴스,http://yna.kr/AKR20200909072651002?did=1195m
방과후 돌봄센터에 아동식당,2020.09.28,내일신문,http://www.naeil.com/news_view/?id_art=363240
"광주 동구, 돌봄 공백 예방 재난안전점검",2020.10.05,남도일보,http://www.namdonews.com/news/articleView.html?idxno=586026
가족돌봄휴가비 맞벌이 최대 150만원…코로나 재확산에 신청 급증,2020.10.04,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=01167686625929640
"SKT, 방과후 나홀로 초등학생 '돌봄교육' 지원",24  2020.0,아이뉴스24,http://www.inews24.com/view/1278447
과천시 “추석 전 아동특별돌봄지원금 지급”,2020.09.26,파이낸셜뉴스,http://www.fnnews.com/news/202009261303133474
"포항시, '2차 아동 특별돌봄 지원금' 추석 전 지급",2020.09.25,노컷뉴스,https://www.nocutnews.co.kr/news/5419325
"통신비 16~34세, 65세 이상만 지원…중학생까지 돌봄비용 확대",2020.09.22,TV조,http://news.tvchosun.com/site/data/html_dir/2020/09/22/2020092290047.html
'돌봄 사각' 엄마 없을 때 라면 끓이려다 불낸 초등생 형제 중태(종합),2020.09.16,연합뉴스,http://yna.kr/AKR20200916131051065?did=1195m
